hid,geo1,geo2,ea,urbrur,hhsize,statocc,rooms,bedrooms,floor,walls,roof,water,piped_water,toilet,flush_toilet,electricity,cook_fuel,phone,cell,car,bicycle,motorcycle,refrigerator,tv,radio,bank,deaths_12m,exp_01,exp_02,exp_03,exp_04,exp_05,exp_06,exp_07,exp_08,exp_09,exp_10,exp_11,exp_12,tot_exp,tot_food,share_food,pc_exp,quint_nat,quint_urb,quint_rur,hhweight,popweight
2e16e656dc8,1,11,11112,2,4,3,3,1,2,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,3587,42,927,3879,511,477,2210,655,368,746,317,1162,14881,3587,0.2409999966621399,3720.25,4,4,,277.44040563280487,1109.7616225312195
2e3d472f7db,1,11,11003,2,3,1,3,2,6,3,1,11,1,22,2,1,2,1,0,1,0,0,1,1,1,1,2,3826,43,467,5729,591,446,1941,842,189,214,282,769,15339,3826,0.24899999797344208,5113.0,5,4,,388.5379860065539,1165.6139580196618
2f9a7549a66,1,11,11003,2,2,1,4,3,6,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,3455,56,751,9586,1727,641,2957,1949,736,408,669,1210,24145,3455,0.14300000667572021,12072.5,5,5,,388.5379860065539,777.0759720131078
306581f6f9b,1,11,11094,2,2,1,2,1,2,3,5,71,0,12,1,1,2,0,0,0,0,1,1,1,1,0,0,2298,54,331,2106,252,132,465,118,136,92,181,536,6701,2298,0.34299999475479126,3350.5,4,3,,268.3340465857763,536.6680931715526
30ec91913ba,1,11,11034,2,1,1,2,1,2,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,1755,55,600,5573,1191,304,2258,1353,735,239,639,1018,15720,1755,0.1120000034570694,15720.0,5,5,,271.3694996014525,271.3694996014525
311625541b9,1,11,11087,2,2,1,2,2,2,3,1,71,0,11,1,1,2,1,1,1,0,1,1,1,1,1,0,2468,47,638,4210,828,331,2628,1136,483,301,572,928,14570,2468,0.16899999976158142,7285.0,5,5,,256.1922345230715,512.384469046143
318c8c131c5,1,11,11027,2,8,1,2,2,2,3,1,11,1,21,2,1,2,0,1,0,1,0,1,1,1,1,0,3602,49,1019,2918,231,271,566,328,212,1522,343,775,11836,3602,0.30399999022483826,1479.5,2,1,,314.47293242405453,2515.7834593924363
31cd93ca3e1,1,11,11027,2,8,1,2,1,2,3,1,11,1,22,2,1,2,0,0,0,0,0,1,1,0,0,0,2690,31,681,2205,126,141,273,69,102,1180,252,577,8327,2690,0.3230000138282776,1040.875,1,1,,314.47293242405453,2515.7834593924363
3203607693b,1,11,11066,2,1,2,1,1,2,2,5,12,2,11,1,1,3,0,1,0,0,0,0,1,1,1,0,978,136,413,858,267,58,413,317,443,65,366,321,4635,978,0.210999995470047,4635.0,5,4,,322.9722008679479,322.9722008679479
32da0bfd978,1,11,11034,2,1,1,2,1,2,3,9,11,1,11,1,1,4,0,1,0,0,0,1,1,0,0,0,1346,41,313,3374,241,84,213,273,115,145,318,540,7003,1346,0.19200000166893005,7003.0,5,5,,271.3694996014525,271.3694996014525
340eb5fdfd5,1,11,11094,2,2,2,2,1,2,3,1,11,1,11,1,1,2,0,0,0,0,0,1,1,0,0,0,1825,23,275,2685,169,137,305,158,94,95,155,496,6417,1825,0.2840000092983246,3208.5,4,3,,268.3340465857763,536.6680931715526
3485e5a273a,1,11,11094,2,2,3,1,1,2,3,5,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,3018,137,748,2644,429,182,929,654,290,222,549,999,10801,3018,0.27900001406669617,5400.5,5,5,,268.3340465857763,536.6680931715526
34c971edf72,1,11,11087,2,2,1,1,1,6,3,1,11,1,11,1,1,2,1,0,1,0,0,1,1,1,1,0,2832,43,610,5022,1002,264,2263,931,406,298,633,810,15114,2832,0.18700000643730164,7557.0,5,5,,256.1922345230715,512.384469046143
35a1496233f,1,11,11094,2,3,2,1,1,2,3,1,14,3,31,0,0,2,0,0,0,0,0,0,1,0,0,0,1408,24,317,1318,67,50,150,25,41,282,145,293,4120,1408,0.34200000762939453,1373.3333740234375,1,1,,268.3340465857763,805.0021397573289
385486c3247,1,11,11034,2,1,3,4,2,2,3,1,11,1,11,1,1,1,0,0,0,0,0,1,1,0,0,0,663,12,80,3524,126,86,85,118,55,11,37,179,4976,663,0.13300000131130219,4976.0,5,4,,271.3694996014525,271.3694996014525
3a05ce32186,1,11,11027,2,10,1,1,1,2,3,5,21,0,13,1,1,4,0,0,0,0,0,0,0,1,0,0,4796,93,793,1974,261,315,413,24,167,750,381,598,10565,4796,0.45399999618530273,1056.5,1,1,,314.47293242405453,3144.7293242405453
3b956559105,1,11,11027,2,8,1,3,2,2,3,1,11,1,11,1,1,2,0,1,0,0,1,1,0,1,0,0,3859,62,1188,3586,254,333,696,454,282,1470,333,1039,13556,3859,0.2849999964237213,1694.5,2,1,,314.47293242405453,2515.7834593924363
3bdc6e31f82,1,11,11066,2,1,3,2,1,2,2,5,96,0,31,0,0,5,0,1,1,0,0,0,0,0,1,0,2196,86,286,682,293,53,2548,357,227,163,557,265,7713,2196,0.2849999964237213,7713.0,5,5,,322.9722008679479,322.9722008679479
3fcf56f513b,1,11,11036,2,4,2,5,3,2,3,1,11,1,21,2,1,4,0,0,0,0,0,1,1,0,0,0,2689,34,335,3955,107,146,268,125,83,374,168,512,8796,2689,0.3059999942779541,2199.0,3,2,,270.7624089983172,1083.0496359932688
40bbfcd6ac2,1,11,11003,2,3,1,8,2,2,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,1,4103,42,628,7544,1179,836,2336,1979,540,408,244,1143,20982,4103,0.19599999487400055,6994.0,5,5,,388.5379860065539,1165.6139580196618
41a001da150,1,11,11112,2,3,1,4,1,2,3,1,11,1,31,0,1,2,0,1,0,0,1,1,1,1,1,0,3099,44,640,3145,298,285,696,405,208,296,192,834,10142,3099,0.3059999942779541,3380.666748046875,4,3,,277.44040563280487,832.3212168984146
41d82f5b841,1,11,11036,2,2,1,6,2,2,3,1,11,1,11,1,1,2,0,0,0,0,0,1,1,1,1,0,1703,23,278,3566,196,155,299,241,117,116,145,450,7289,1703,0.23399999737739563,3644.5,4,3,,270.7624089983172,541.5248179966344
4264b4485c5,1,11,11003,2,2,3,2,1,6,3,1,11,1,11,1,1,2,1,0,1,0,0,1,1,1,1,0,2848,19,271,6228,798,384,1050,819,171,70,199,609,13466,2848,0.210999995470047,6733.0,5,5,,388.5379860065539,777.0759720131078
42a147f64b0,1,11,11041,2,2,1,2,1,2,3,1,11,1,11,1,1,1,0,1,0,0,0,1,0,1,1,0,1448,19,270,3455,199,180,270,350,113,69,137,455,6965,1448,0.20800000429153442,3482.5,4,3,,289.5822176955097,579.1644353910194
4477e9ce851,1,11,11087,2,2,1,3,1,6,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,2530,71,797,4311,469,250,983,746,372,286,630,884,12329,2530,0.20499999821186066,6164.5,5,5,,256.1922345230715,512.384469046143
4540ad0db03,1,11,11036,2,1,1,6,3,2,4,1,11,1,11,1,1,2,0,1,0,0,0,1,1,0,1,0,2057,15,219,3552,1251,401,447,206,501,40,34,418,9141,2057,0.22499999403953552,9141.0,5,5,,270.7624089983172,270.7624089983172
46845eebe8c,1,11,11041,2,2,1,3,1,6,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,2374,34,480,4669,332,293,622,594,192,148,308,650,10696,2374,0.22200000286102295,5348.0,5,5,,289.5822176955097,579.1644353910194
4705b407c99,1,11,11036,2,2,1,4,2,2,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,3245,43,571,6630,859,684,2293,977,468,247,246,977,17240,3245,0.18799999356269836,8620.0,5,5,,270.7624089983172,541.5248179966344
492c881e590,1,11,11036,2,2,1,4,2,6,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,3204,28,430,8744,1345,661,1342,1521,373,143,266,924,18981,3204,0.16899999976158142,9490.5,5,5,,270.7624089983172,541.5248179966344
4961b492d32,1,11,11041,2,4,1,3,2,2,3,5,11,1,11,1,1,2,0,0,1,0,0,1,1,0,1,0,3812,37,605,5263,454,442,2082,413,249,737,276,1094,15464,3812,0.24699999392032623,3866.0,4,4,,289.5822176955097,1158.3288707820388
49a7f004612,1,11,11112,2,4,2,3,2,2,3,1,11,1,11,1,1,2,1,0,0,0,1,1,1,1,1,0,4221,39,662,4155,385,326,541,759,250,541,220,980,13079,4221,0.3230000138282776,3269.75,4,3,,277.44040563280487,1109.7616225312195
4a11dd23063,1,11,11066,2,1,1,1,1,2,8,5,61,0,31,0,1,3,0,1,0,0,0,0,0,0,0,0,968,114,190,475,288,56,308,536,226,36,779,190,4166,968,0.23199999332427979,4166.0,4,4,,322.9722008679479,322.9722008679479
4a7415367c5,1,11,11024,2,3,1,4,2,6,3,1,11,1,11,1,1,1,1,1,1,1,0,1,1,1,1,0,4929,120,2386,10521,2470,678,5808,1843,1693,3611,1485,2533,38077,4929,0.1289999932050705,12692.3330078125,5,5,,381.85998937206625,1145.5799681161989
4d596ce823d,1,11,11066,2,1,1,3,1,2,3,1,11,1,11,1,1,2,0,0,0,0,0,1,1,0,0,0,772,7,61,2484,99,105,76,85,33,7,28,145,3902,772,0.1979999989271164,3902.0,4,4,,322.9722008679479,322.9722008679479
4edadb60316,1,11,11094,2,1,2,2,1,2,3,5,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,1719,109,579,5125,764,233,3502,764,546,140,776,1101,15358,1719,0.1120000034570694,15358.0,5,5,,268.3340465857763,268.3340465857763
5083197ada7,1,11,11027,2,6,1,4,2,2,3,5,71,0,12,1,1,2,1,1,1,1,1,1,1,1,1,0,6883,167,1838,8462,1514,849,6542,1847,1169,1607,979,2530,34387,6883,0.20000000298023224,5731.16650390625,5,5,,314.47293242405453,1886.8375945443272
51854beab2c,1,11,11041,2,1,1,3,1,2,4,2,11,1,12,1,1,4,0,0,0,0,0,0,0,1,0,0,1101,5,66,2069,142,106,55,45,43,14,33,92,3771,1101,0.2919999957084656,3771.0,4,4,,289.5822176955097,289.5822176955097
52a496b0a70,1,11,11003,2,2,1,5,1,3,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,3279,31,331,7259,1332,771,1324,1628,478,70,120,896,17519,3279,0.18700000643730164,8759.5,5,5,,388.5379860065539,777.0759720131078
52d60a2d873,1,11,11094,2,2,2,1,1,6,3,1,11,1,11,1,1,2,0,1,0,0,0,0,1,1,1,0,1731,48,677,2092,255,171,685,479,283,238,521,668,7848,1731,0.22100000083446503,3924.0,4,4,,268.3340465857763,536.6680931715526
54681c23d85,1,11,11027,2,7,1,2,2,2,3,1,21,0,21,2,1,2,1,1,0,0,0,1,0,0,1,0,3746,57,1034,3287,270,316,719,538,275,1429,424,879,12974,3746,0.289000004529953,1853.4285888671875,2,1,,314.47293242405453,2201.310526968382
549aeba767f,1,11,11024,2,4,1,4,3,6,3,1,11,1,11,1,1,2,1,1,0,0,1,1,1,1,1,0,4891,73,1533,6576,1015,515,1511,1608,832,2633,733,1327,23247,4891,0.20999999344348907,5811.75,5,5,,381.85998937206625,1527.439957488265
5a75daf4d4f,1,11,11034,2,2,1,4,2,2,6,5,11,1,11,1,1,1,0,1,1,0,0,1,1,1,1,0,2336,60,713,5208,1578,416,3162,630,814,194,103,2382,17596,2336,0.13300000131130219,8798.0,5,5,,271.3694996014525,542.738999202905
5b030138240,1,11,11024,2,4,1,8,3,6,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,7969,152,3049,13407,3393,1168,8692,3614,2366,5526,1647,2759,53742,7969,0.14800000190734863,13435.5,5,5,,381.85998937206625,1527.439957488265
5bff9dd55fd,1,11,11112,2,6,1,3,2,2,3,1,11,1,13,1,1,4,0,0,0,0,0,0,1,1,0,0,2803,29,578,3089,136,200,249,101,110,748,174,854,9071,2803,0.3089999854564667,1511.8333740234375,2,1,,277.44040563280487,1664.6424337968292
5f035e736cf,1,11,11112,2,6,1,2,2,2,3,9,11,1,22,2,1,5,0,0,0,0,0,1,1,1,1,0,7213,210,583,3513,417,162,775,83,404,379,556,355,14650,7213,0.492000013589859,2441.666748046875,3,2,,277.44040563280487,1664.6424337968292
6057b1c952d,1,11,11094,2,2,1,1,1,2,2,5,11,1,21,2,1,2,0,0,0,0,0,1,1,0,0,0,4158,98,299,2410,333,127,497,95,121,72,242,511,8963,4158,0.46399998664855957,4481.5,5,4,,268.3340465857763,536.6680931715526
636f5773155,1,11,11034,2,1,2,4,2,6,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,1695,67,626,5196,583,200,751,752,426,163,735,728,11922,1695,0.1420000046491623,11922.0,5,5,,271.3694996014525,271.3694996014525
6462d19872e,1,11,11087,2,4,1,3,3,6,3,1,11,1,11,1,1,2,1,1,1,0,1,1,1,1,1,0,3854,40,966,5083,993,543,2755,1339,539,1373,544,1055,19084,3854,0.20200000703334808,4771.0,5,4,,256.1922345230715,1024.768938092286
662ccd4e7d5,1,11,11094,2,2,1,1,1,2,3,5,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,3018,137,748,2644,429,182,929,654,290,222,549,999,10801,3018,0.27900001406669617,5400.5,5,5,,268.3340465857763,536.6680931715526
67026b54c3e,1,11,11027,2,5,2,4,3,6,3,1,11,1,11,1,1,2,0,1,0,1,1,1,1,1,1,0,3023,27,772,3545,281,328,571,429,231,1009,256,783,11255,3023,0.26899999380111694,2251.0,3,2,,314.47293242405453,1572.3646621202727
67703f93423,1,11,11003,2,2,1,3,1,6,3,1,11,1,11,1,1,2,0,0,1,0,0,1,1,1,1,0,2374,18,240,5298,446,329,1041,318,113,50,119,498,10844,2374,0.21899999678134918,5422.0,5,5,,388.5379860065539,777.0759720131078
677cdb1cffd,1,11,11094,2,1,2,2,1,2,3,9,11,1,11,1,1,2,1,1,0,0,0,1,1,1,1,0,1629,105,562,3479,605,148,626,995,424,218,690,615,10096,1629,0.16099999845027924,10096.0,5,5,,268.3340465857763,268.3340465857763
6791126742e,1,11,11094,2,1,2,1,1,1,5,5,11,1,21,2,1,2,0,1,1,0,0,1,1,1,1,0,1468,107,298,1503,673,134,2825,401,442,58,606,415,8930,1468,0.164000004529953,8930.0,5,5,,268.3340465857763,268.3340465857763
6799e43b5c8,1,11,11024,2,3,1,4,3,2,3,8,11,1,11,1,1,2,0,0,0,0,0,1,1,1,1,0,3142,25,533,3467,328,270,376,230,248,497,115,698,9929,3142,0.3160000145435333,3309.666748046875,4,3,,381.85998937206625,1145.5799681161989
6910da79a9a,1,11,11036,2,2,3,1,1,1,1,5,21,0,31,0,1,4,0,1,0,0,0,0,1,0,0,0,2679,90,330,790,423,252,352,290,411,70,256,227,6170,2679,0.4339999854564667,3085.0,4,3,,270.7624089983172,541.5248179966344
69c3fcee636,1,11,11087,2,4,1,5,3,2,3,1,11,1,21,2,1,2,0,1,0,0,0,1,1,1,1,0,3386,54,722,4244,209,337,767,499,200,575,320,833,12146,3386,0.27900001406669617,3036.5,4,3,,256.1922345230715,1024.768938092286
69e481a59b0,1,11,11024,2,3,2,3,1,2,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,3119,42,800,3875,529,433,2086,713,399,768,334,972,14070,3119,0.22200000286102295,4690.0,5,4,,381.85998937206625,1145.5799681161989
69f30782ec2,1,11,11036,2,2,1,3,1,6,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,1898,16,238,3949,250,265,340,400,89,42,96,409,7992,1898,0.2370000034570694,3996.0,4,4,,270.7624089983172,541.5248179966344
