hid,idno,relation,sex,age,age_month,marstat,religion,school_attend,educ_attain,yrs_school,literacy,act_status,labor_force,occupation,industry,migrate_recent,disability,blind,deaf,mental,ch_weight,ch_height,children_born,children_surv,births_12m,hhweight
17c98c7404c,2,2,1,51,,2,6,3,2,7,1,1,1,5,6,99,0,0,0,0,,,,,,381.85998937206625
17c98c7404c,3,3,1,26,,1,6,3,2,9,1,1,1,8,8,99,0,0,0,0,,,,,,381.85998937206625
17c98c7404c,4,4,1,86,,1,6,3,2,7,1,3,2,0,0,99,0,0,0,0,,,,,,381.85998937206625
17e026a244f,1,1,1,67,,2,6,4,1,0,2,1,1,6,1,20,0,0,0,0,,,,,,388.5379860065539
17e026a244f,2,2,2,65,,2,6,4,1,0,1,3,2,0,0,20,1,0,0,0,,,10,9,0,388.5379860065539
17e026a244f,3,4,1,16,,1,6,4,1,0,1,1,1,7,5,99,0,0,0,0,,,,,,388.5379860065539
19f81a3651c,1,1,1,38,,2,6,3,4,16,1,1,1,7,3,20,0,0,0,0,,,,,,277.44040563280487
19f81a3651c,2,2,2,34,,2,6,3,4,16,1,3,2,0,0,20,0,0,0,0,,,3,3,1,277.44040563280487
19f81a3651c,3,3,2,0,4,1,6,2,0,,0,0,0,0,0,20,0,0,0,0,5.93,62.3,,,,277.44040563280487
19f81a3651c,4,3,1,5,,1,6,1,1,0,2,0,0,0,0,20,0,0,0,0,,,,,,277.44040563280487
19f81a3651c,5,3,2,18,,1,6,1,3,12,1,3,2,0,0,20,0,0,0,0,,,0,,0,277.44040563280487
19f81a3651c,6,4,2,21,,1,6,1,3,12,1,3,2,0,0,0,0,0,0,0,,,0,,0,277.44040563280487
1a99be8dcaf,1,1,1,71,,2,6,4,1,0,1,3,2,0,0,0,0,0,0,0,,,,,,270.7624089983172
1a99be8dcaf,2,2,2,70,,2,6,3,1,3,1,3,2,0,0,99,0,0,0,0,,,1,0,0,270.7624089983172
1bd825df0cc,1,1,1,82,,2,6,3,1,3,1,3,2,0,0,20,1,0,0,0,,,,,,388.5379860065539
1bd825df0cc,2,2,2,67,,2,6,3,1,2,2,3,2,0,0,20,0,0,0,0,,,5,5,0,388.5379860065539
1cc2796186f,1,1,1,60,,2,6,3,2,7,1,2,1,0,0,20,1,0,0,0,,,,,,289.5822176955097
1e2c7908b70,1,1,1,53,,2,6,3,2,10,1,3,2,0,0,12,0,0,0,0,,,,,,256.1922345230715
1e2c7908b70,2,2,2,51,,2,6,3,2,10,1,3,2,0,0,12,0,0,0,0,,,3,3,0,256.1922345230715
1ec3b1b76a2,1,1,2,56,,1,6,2,1,0,2,3,2,0,0,10,0,0,0,0,,,0,,0,271.3694996014525
1ffddef4ebe,1,1,2,59,,4,6,4,1,0,1,3,2,0,0,20,0,0,0,0,,,7,6,0,268.3340465857763
1ffddef4ebe,2,3,1,22,,1,6,4,1,0,1,1,1,4,10,11,0,0,0,0,,,,,,268.3340465857763
1ffddef4ebe,3,3,1,34,,1,6,4,1,0,1,3,2,0,0,20,0,0,0,0,,,,,,268.3340465857763
22dfb939642,1,1,1,65,,2,6,4,1,0,1,3,2,0,0,99,0,0,0,0,,,,,,388.5379860065539
22dfb939642,2,2,2,60,,2,6,4,1,0,1,3,2,0,0,20,0,0,0,0,,,3,3,0,388.5379860065539
22dfb939642,3,4,2,10,,1,6,1,1,3,1,3,0,0,0,20,0,0,0,0,,,,,,388.5379860065539
2358ac5a0d0,1,1,1,45,,2,6,3,4,16,1,3,2,0,0,20,0,0,0,0,,,,,,381.85998937206625
2358ac5a0d0,2,2,2,43,,2,6,3,3,12,1,3,2,0,0,20,0,0,0,0,,,2,2,0,381.85998937206625
2358ac5a0d0,3,3,1,7,,1,6,1,1,0,1,0,0,0,0,20,0,0,0,0,,,,,,381.85998937206625
2358ac5a0d0,4,3,1,12,,1,6,1,1,5,1,3,0,0,0,20,0,0,0,0,,,,,,381.85998937206625
258b968d304,1,1,1,58,,1,6,3,1,4,1,1,1,7,6,20,0,0,0,0,,,,,,322.9722008679479
263e9ff55f1,1,1,1,70,,2,6,3,1,3,1,1,1,5,12,20,1,0,1,0,,,,,,314.47293242405453
263e9ff55f1,2,2,2,52,,2,6,3,1,4,1,3,2,0,0,20,0,0,0,0,,,6,5,0,314.47293242405453
263e9ff55f1,3,3,2,14,,1,6,1,2,6,1,3,0,0,0,20,0,0,0,0,,,0,,0,314.47293242405453
263e9ff55f1,4,3,2,18,,1,6,1,2,11,1,3,2,0,0,20,0,0,0,0,,,0,,0,314.47293242405453
263e9ff55f1,5,3,2,25,,3,6,3,1,3,2,1,1,5,7,20,0,0,0,0,,,2,2,1,314.47293242405453
263e9ff55f1,6,4,2,0,10,1,6,2,0,,0,0,0,0,0,10,0,0,0,0,8.27,78.0,,,,314.47293242405453
263e9ff55f1,7,4,1,4,56,1,6,2,0,,0,0,0,0,0,11,0,0,0,0,15.13,100.7,,,,314.47293242405453
263e9ff55f1,8,4,2,88,,4,6,2,1,0,2,3,2,0,0,20,0,0,0,0,,,4,2,0,314.47293242405453
26b917399eb,1,1,2,36,,1,6,3,2,9,1,1,1,5,7,99,0,0,0,0,,,0,,0,322.9722008679479
283877c3de7,1,1,1,36,,2,6,3,3,15,1,1,1,9,13,12,0,0,0,0,,,,,,256.1922345230715
283877c3de7,2,2,2,27,,2,6,3,3,14,1,3,2,0,0,30,0,0,1,0,,,0,,0,256.1922345230715
2a22a28718a,1,1,1,39,,2,6,3,3,12,1,1,1,3,11,20,0,0,0,0,,,,,,381.85998937206625
2a22a28718a,2,2,2,37,,2,6,3,3,15,1,1,1,2,12,99,0,0,0,0,,,3,3,0,381.85998937206625
2a22a28718a,3,3,2,7,,1,6,1,1,1,1,0,0,0,0,20,0,0,0,0,,,,,,381.85998937206625
2a22a28718a,4,3,1,14,,1,6,1,2,8,1,3,0,0,0,10,0,0,0,0,,,,,,381.85998937206625
2a22a28718a,5,3,1,18,,1,6,1,2,11,1,3,2,0,0,99,0,0,0,0,,,,,,381.85998937206625
2b2063d20ee,1,1,1,59,,2,7,4,1,0,2,1,1,9,14,20,0,0,0,0,,,,,,256.1922345230715
2b2063d20ee,2,2,2,54,,2,6,4,1,0,1,3,2,0,0,99,1,0,0,0,,,2,2,0,256.1922345230715
2c62bd0966f,1,1,1,24,,1,6,3,3,12,1,1,1,7,5,30,0,0,0,0,,,,,,322.9722008679479
2e16e656dc8,1,1,1,29,,2,6,4,1,0,1,1,1,3,11,20,1,1,0,0,,,,,,277.44040563280487
2e16e656dc8,2,2,2,26,,2,6,4,1,0,1,3,2,0,0,11,0,0,0,0,,,2,2,0,277.44040563280487
2e16e656dc8,3,3,2,3,45,1,6,4,1,0,0,0,0,0,0,11,0,0,0,0,15.08,97.2,,,,277.44040563280487
2e16e656dc8,4,3,1,7,,1,6,1,1,1,1,0,0,0,0,99,0,0,0,0,,,,,,277.44040563280487
2e3d472f7db,1,1,1,67,,2,6,3,2,11,1,3,2,0,0,30,0,0,0,0,,,,,,388.5379860065539
2e3d472f7db,2,2,2,64,,2,6,3,3,11,1,3,2,0,0,30,0,0,0,0,,,2,2,0,388.5379860065539
2e3d472f7db,3,4,2,53,,1,6,3,2,6,1,3,2,0,0,30,0,0,0,0,,,0,,0,388.5379860065539
2f9a7549a66,1,1,2,61,,3,6,3,1,1,1,1,1,5,6,20,1,1,1,0,,,1,1,,388.5379860065539
2f9a7549a66,2,3,1,28,,1,6,3,3,15,1,1,1,3,11,11,1,0,0,0,,,,,,388.5379860065539
306581f6f9b,1,1,1,21,,2,6,4,1,0,1,1,1,5,7,12,0,0,0,0,,,,,,268.3340465857763
306581f6f9b,2,2,2,38,,2,6,3,2,8,1,1,1,5,7,11,0,0,0,0,,,0,,0,268.3340465857763
30ec91913ba,1,1,2,33,,3,6,3,4,18,1,1,1,2,12,20,0,0,0,0,,,0,,0,271.3694996014525
311625541b9,1,1,1,38,,2,5,3,2,9,1,1,1,7,14,12,0,0,0,0,,,,,,256.1922345230715
311625541b9,2,2,2,29,,2,5,4,1,0,1,3,2,0,0,12,0,0,0,0,,,1,1,1,256.1922345230715
318c8c131c5,1,1,2,40,,2,6,4,1,0,1,3,2,0,0,11,0,0,0,0,,,7,7,0,314.47293242405453
318c8c131c5,2,2,1,48,,2,6,4,1,0,1,1,1,5,7,11,0,0,0,0,,,,,,314.47293242405453
318c8c131c5,3,3,2,8,,1,6,1,1,2,1,0,0,0,0,11,0,0,0,0,,,,,,314.47293242405453
318c8c131c5,4,3,1,9,,1,6,1,1,0,2,0,0,0,0,11,0,0,0,0,,,,,,314.47293242405453
318c8c131c5,5,3,1,12,,1,6,1,1,4,1,3,0,0,0,11,0,0,0,0,,,,,,314.47293242405453
318c8c131c5,6,3,1,16,,1,6,1,1,5,1,3,2,0,0,11,0,0,0,0,,,,,,314.47293242405453
318c8c131c5,7,3,2,17,,1,6,1,2,8,1,3,2,0,0,11,0,0,0,0,,,0,,0,314.47293242405453
318c8c131c5,8,3,2,19,,1,6,1,2,9,1,3,2,0,0,11,0,0,0,0,,,0,,0,314.47293242405453
31cd93ca3e1,1,1,1,50,,2,6,4,1,0,1,1,1,7,5,20,0,0,0,0,,,,,,314.47293242405453
31cd93ca3e1,2,2,2,48,,2,6,4,1,0,1,3,2,0,0,99,0,0,0,0,,,7,7,0,314.47293242405453
31cd93ca3e1,3,3,2,9,,1,6,1,1,2,1,0,0,0,0,99,0,0,0,0,,,,,,314.47293242405453
31cd93ca3e1,4,3,1,12,,1,6,1,1,4,1,3,0,0,0,99,0,0,0,0,,,,,,314.47293242405453
31cd93ca3e1,5,3,1,14,,1,6,4,1,0,1,3,0,0,0,99,0,0,0,0,,,,,,314.47293242405453
31cd93ca3e1,6,3,2,16,,1,6,4,1,0,1,3,2,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
31cd93ca3e1,7,3,2,18,,1,6,4,1,0,1,1,1,8,3,99,0,0,0,0,,,0,,0,314.47293242405453
31cd93ca3e1,8,3,2,19,,1,6,4,1,0,1,1,1,7,3,99,0,0,0,0,,,0,,0,314.47293242405453
3203607693b,1,1,1,34,,2,6,3,2,9,1,2,1,0,0,20,0,0,0,0,,,,,,322.9722008679479
32da0bfd978,1,1,2,26,,1,1,1,3,14,1,1,1,3,14,30,0,0,0,0,,,0,,0,271.3694996014525
340eb5fdfd5,1,1,1,31,,2,6,4,1,0,1,1,1,9,3,20,0,0,0,0,,,,,,268.3340465857763
340eb5fdfd5,2,2,2,33,,2,6,4,1,0,1,2,1,0,0,20,0,1,0,0,,,1,1,0,268.3340465857763
3485e5a273a,1,1,1,49,,2,6,3,1,2,1,1,1,6,1,20,0,0,0,0,,,,,,268.3340465857763
3485e5a273a,2,2,2,49,,2,6,3,1,2,1,3,2,0,0,99,0,0,0,0,,,3,3,0,268.3340465857763
34c971edf72,1,1,1,31,,2,7,1,3,14,1,1,1,4,11,20,0,0,0,0,,,,,,256.1922345230715
34c971edf72,2,2,2,28,,2,7,1,3,13,1,1,1,5,6,20,0,0,0,0,,,0,,0,256.1922345230715
35a1496233f,1,1,2,48,,3,6,4,1,0,1,1,1,5,6,12,0,0,0,0,,,6,5,0,268.3340465857763
35a1496233f,2,3,1,19,,1,6,2,1,0,2,3,2,0,0,12,1,0,0,1,,,,,,268.3340465857763
35a1496233f,3,4,1,9,,1,6,3,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,268.3340465857763
385486c3247,1,1,2,65,,2,6,4,1,0,1,3,2,0,0,30,0,0,0,0,,,9,9,,271.3694996014525
3a05ce32186,1,1,1,47,,2,6,3,2,7,1,2,1,0,0,12,0,0,0,0,,,,,,314.47293242405453
3a05ce32186,2,2,2,41,,2,6,3,2,8,1,3,2,0,0,12,0,0,0,0,,,8,8,0,314.47293242405453
3a05ce32186,3,3,1,4,48,1,6,2,0,,0,0,0,0,0,0,0,0,0,0,14.08,97.4,,,,314.47293242405453
3a05ce32186,4,3,1,8,,1,6,1,1,1,2,0,0,0,0,20,0,0,0,0,,,,,,314.47293242405453
3a05ce32186,5,3,2,10,,1,6,1,1,3,1,0,0,0,0,11,0,0,0,0,,,,,,314.47293242405453
3a05ce32186,6,3,1,12,,1,6,1,1,3,1,3,0,0,0,20,0,0,0,0,,,,,,314.47293242405453
3a05ce32186,7,3,2,13,,1,6,1,2,6,1,3,0,0,0,10,0,0,0,0,,,0,,0,314.47293242405453
3a05ce32186,8,3,2,16,,1,6,1,2,8,1,3,2,0,0,11,0,0,0,0,,,0,,0,314.47293242405453
3a05ce32186,9,3,2,18,,1,6,1,2,8,1,3,2,0,0,12,0,0,0,0,,,0,,0,314.47293242405453
3a05ce32186,10,3,2,21,,1,6,3,3,12,1,3,2,0,0,10,0,0,0,0,,,0,,0,314.47293242405453
3b956559105,1,1,1,45,,2,7,4,1,0,1,1,1,7,3,0,0,0,0,0,,,,,,314.47293242405453
3b956559105,2,2,2,50,,2,7,3,1,2,1,1,1,8,3,99,0,0,0,0,,,6,6,0,314.47293242405453
3b956559105,3,3,1,15,,1,7,1,1,4,1,3,2,0,0,99,0,0,0,0,,,,,,314.47293242405453
3b956559105,4,3,2,18,,1,7,3,2,7,1,3,2,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
3b956559105,5,3,2,19,,1,7,1,2,9,1,3,2,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
3b956559105,6,3,2,21,,1,6,1,2,8,1,3,2,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
3b956559105,7,3,1,23,,1,7,1,1,0,1,3,2,0,0,99,0,0,0,0,,,,,,314.47293242405453
3b956559105,8,3,2,27,,1,7,3,3,10,1,3,2,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
3bdc6e31f82,1,1,2,49,,3,6,3,2,9,1,1,1,9,15,20,0,0,0,0,,,6,3,0,322.9722008679479
3fcf56f513b,1,1,1,60,,2,6,4,1,0,1,1,1,9,1,12,1,1,0,0,,,,,,270.7624089983172
3fcf56f513b,2,2,2,56,,2,6,4,1,0,1,3,2,0,0,99,1,0,0,0,,,2,2,0,270.7624089983172
3fcf56f513b,3,3,1,22,,1,6,4,1,0,1,1,1,9,1,10,0,0,0,0,,,,,,270.7624089983172
3fcf56f513b,4,3,1,24,,1,6,4,1,0,2,3,2,0,0,99,1,0,0,0,,,,,,270.7624089983172
40bbfcd6ac2,1,1,1,73,,2,6,1,2,7,1,3,2,0,0,10,0,0,0,0,,,,,,388.5379860065539
40bbfcd6ac2,2,2,2,70,,2,6,1,1,3,1,3,2,0,0,20,0,0,0,0,,,2,2,0,388.5379860065539
40bbfcd6ac2,3,4,2,26,,1,6,4,1,0,1,1,1,2,13,20,0,0,0,0,,,0,,0,388.5379860065539
41a001da150,1,1,1,27,,2,6,3,2,7,1,1,1,7,14,20,0,0,0,0,,,,,,277.44040563280487
41a001da150,2,2,2,25,,2,6,4,1,0,1,3,2,0,0,0,0,0,0,0,,,1,1,0,277.44040563280487
41a001da150,3,3,1,1,13,1,6,2,0,,0,0,0,0,0,0,0,0,0,0,10.07,78.4,,,,277.44040563280487
41d82f5b841,1,1,2,57,,4,6,4,1,0,1,3,2,0,0,12,0,0,0,0,,,3,3,0,270.7624089983172
41d82f5b841,2,3,2,23,,1,6,3,3,14,1,1,1,9,3,99,0,0,0,0,,,0,,0,270.7624089983172
4264b4485c5,1,1,1,61,,2,1,3,3,11,1,1,1,7,3,20,0,0,0,0,,,,,,388.5379860065539
4264b4485c5,2,2,2,61,,2,6,3,3,11,1,3,2,0,0,20,0,0,0,0,,,2,1,0,388.5379860065539
42a147f64b0,1,1,1,86,,2,6,4,1,0,1,3,2,0,0,99,0,0,0,0,,,,,,289.5822176955097
42a147f64b0,2,2,2,68,,2,6,1,1,4,1,3,2,0,0,99,0,0,0,0,,,2,2,0,289.5822176955097
4477e9ce851,1,1,2,44,,1,6,3,2,9,1,1,1,9,15,10,0,0,0,0,,,1,1,0,256.1922345230715
4477e9ce851,2,3,1,19,,1,6,1,2,10,1,2,1,0,0,20,0,0,0,0,,,,,,256.1922345230715
4540ad0db03,1,1,2,71,,1,6,4,1,0,1,3,2,0,0,12,0,0,0,0,,,0,,0,270.7624089983172
46845eebe8c,1,1,1,58,,2,5,4,1,0,1,1,1,9,5,0,0,0,0,0,,,,,,289.5822176955097
46845eebe8c,2,2,2,61,,2,6,4,1,0,2,3,2,0,0,99,0,0,0,0,,,0,,0,289.5822176955097
4705b407c99,1,1,2,62,,4,6,2,1,0,2,1,1,5,6,12,1,0,0,0,,,1,1,,270.7624089983172
4705b407c99,2,3,1,40,,3,6,4,1,0,1,1,1,4,6,12,0,0,0,0,,,,,,270.7624089983172
492c881e590,1,1,2,65,,4,6,3,3,13,1,3,2,0,0,30,0,0,0,0,,,0,,0,270.7624089983172
492c881e590,2,4,2,75,,1,6,3,3,14,1,3,2,0,0,30,0,0,0,0,,,0,,0,270.7624089983172
4961b492d32,1,1,1,65,,2,6,3,2,9,1,1,1,5,10,30,0,0,0,0,,,,,,289.5822176955097
4961b492d32,2,2,2,55,,2,6,3,2,8,1,1,1,2,13,30,0,0,0,0,,,3,2,0,289.5822176955097
4961b492d32,3,3,1,8,,1,6,1,1,1,1,0,0,0,0,30,0,0,0,0,,,,,,289.5822176955097
4961b492d32,4,5,2,30,,3,6,3,1,1,2,1,1,9,15,30,0,0,0,0,,,2,2,0,289.5822176955097
49a7f004612,1,1,1,26,,2,6,4,1,0,1,1,1,5,11,12,0,0,0,0,,,,,,277.44040563280487
49a7f004612,2,2,2,29,,2,6,4,1,0,1,1,1,5,11,11,0,0,0,0,,,2,2,0,277.44040563280487
49a7f004612,3,3,1,0,2,1,6,2,0,,0,0,0,0,0,11,0,0,0,0,5.65,61.8,,,,277.44040563280487
49a7f004612,4,3,2,0,6,1,6,2,0,,0,0,0,0,0,0,0,0,0,0,7.04,65.5,,,,277.44040563280487
4a11dd23063,1,1,1,59,,2,6,3,4,18,1,3,2,0,0,20,0,0,0,0,,,,,,322.9722008679479
4a7415367c5,1,1,1,44,,2,6,4,1,0,1,1,1,0,6,99,0,0,0,0,,,,,,381.85998937206625
4a7415367c5,2,2,2,43,,2,6,4,1,0,1,1,1,5,6,99,0,0,0,0,,,2,2,0,381.85998937206625
4a7415367c5,3,3,2,8,,1,6,1,1,2,1,0,0,0,0,99,0,0,0,0,,,,,,381.85998937206625
4d596ce823d,1,1,2,68,,4,6,4,1,0,1,1,1,2,7,30,0,0,0,0,,,8,8,,322.9722008679479
4edadb60316,1,1,2,40,,1,6,1,3,13,1,1,1,2,12,20,0,0,0,0,,,0,,0,268.3340465857763
5083197ada7,1,1,1,48,,2,6,3,4,18,1,1,1,2,2,20,0,0,0,0,,,,,,314.47293242405453
5083197ada7,2,2,2,40,,2,6,3,4,17,1,1,1,2,12,20,0,0,0,0,,,2,2,0,314.47293242405453
5083197ada7,3,3,1,3,38,1,6,2,0,,0,0,0,0,0,11,0,0,0,0,14.45,96.5,,,,314.47293242405453
5083197ada7,4,3,2,14,,1,6,1,2,8,1,3,0,0,0,20,0,0,0,0,,,0,,0,314.47293242405453
5083197ada7,5,4,2,18,,1,6,1,2,10,1,3,2,0,0,20,0,0,0,0,,,0,,0,314.47293242405453
5083197ada7,6,5,2,22,,1,6,1,3,11,1,3,2,0,0,20,0,0,0,0,,,0,,0,314.47293242405453
51854beab2c,1,1,2,84,,4,6,4,1,0,2,3,2,0,0,0,1,1,0,0,,,4,3,0,289.5822176955097
52a496b0a70,1,1,1,75,,2,6,1,4,16,1,3,2,0,0,20,0,0,0,0,,,,,,388.5379860065539
52a496b0a70,2,2,2,70,,2,6,3,4,16,1,3,2,0,0,20,0,0,0,0,,,3,3,0,388.5379860065539
52d60a2d873,1,1,1,31,,2,7,4,1,0,1,1,1,7,14,30,0,0,0,0,,,,,,268.3340465857763
52d60a2d873,2,2,2,24,,2,7,3,3,14,1,3,2,0,0,30,0,0,0,0,,,0,,0,268.3340465857763
